radionuclide,CL_lim,TFA_dt,FMA_dt,FMA_ct,FMA_lim,FMA_alpha,LNC_std,LNC_cern
Ac-224,100.0,0.0,0.0,0,0.0,0,0.0,0.0592
Ac-225,10.0,0.0,0.0,0,0.0,0,0.0,0.0025
Ac-226,100.0,0.0,0.0,0,0.0,0,0.0,0.0497
Ac-227,0.01,0.1,0.1,10,3100.0,3,0.0,1e-05
Ac-228,10.0,0.0,0.0,0,0.0,0,0.399,0.418
Ag-102,10.0,0.0,0.0,0,0.0,0,0.0,1.46
Ag-103,10.0,0.0,0.0,0,0.0,0,0.0,0.397
Ag-104,10.0,0.0,0.0,0,0.0,0,0.0,1.35
Ag-104m,10.0,0.0,0.0,0,0.0,0,0.0,0.586
Ag-105,1.0,0.0,0.0,0,0.0,0,0.0,0.262
Ag-106,10.0,0.0,0.0,0,0.0,0,0.0,0.425
Ag-106m,1.0,0.0,0.0,0,0.0,0,0.0,1.41
Ag-108,0.1,0.0,0.0,0,0.0,0,0.0,0.0
Ag-108m,0.1,0.00025,0.01,0,1400.0,1,0.0,0.944
Ag-110 ,0.0,0.0,0.0,0,0.0,0,0.0,0.0
Ag-110m,0.1,0.1,10.0,20000,120000000.0,1,1.41,1.4
Ag-111,100.0,0.0,0.0,0,0.0,0,0.0,0.0151
Ag-112,10.0,0.0,0.0,0,0.0,0,0.0,0.299
Ag-115,10.0,0.0,0.0,0,0.0,0,0.0,0.164
Al-26,0.1,0.1,1.0,0,0.0,1,0.0,0.999
Al-28,10.0,0.0,0.0,0,0.0,0,0.0,0.48
Am-237,100.0,0.0,0.0,0,0.0,0,0.0,0.15
Am-238,10.0,0.0,0.0,0,0.0,0,0.0,0.394
Am-239,100.0,0.0,0.0,0,0.0,0,0.0,0.047
Am-240,10.0,0.0,0.0,0,0.0,0,0.0,0.472
Am-241,0.1,0.1,10.0,3700,0.0,2,0.0,1e-05
Am-242,1000.0,0.0,0.0,0,0.0,0,0.0,0.0003
Am-242m,0.1,0.1,1.0,3700,0.0,2,0.0,2e-05
Am-243,0.1,0.1,0.1,3700,0.0,2,0.0,0.00011
Am-244,10.0,0.0,0.0,0,0.0,0,0.0,0.421
Am-244m,10000.0,0.0,0.0,0,0.0,0,0.0,0.0068
Am-245,1000.0,0.0,0.0,0,0.0,0,0.0,0.0093
Am-246,10.0,0.0,0.0,0,0.0,0,0.0,0.425
Am-246m,10.0,0.0,0.0,0,0.0,0,0.0,0.467
Ar-37,0.0,0.0,1.0,0,0.0,1,0.0,0.0
Ar-39,0.0,10.0,1.0,0,0.0,1,0.0,0.0
Ar-41,0.0,0.0,0.0,0,0.0,0,0.0,0.494
Ar-42,0.0,10.0,1.0,0,0.0,1,0.0,0.0
As-69,10.0,0.0,0.0,0,0.0,0,0.0,0.65
As-70,10.0,0.0,0.0,0,0.0,0,0.0,1.84
As-71,10.0,0.0,0.0,0,0.0,0,0.0,0.299
As-72,10.0,0.0,0.0,0,0.0,0,0.0,0.988
As-73,1000.0,0.0,0.0,0,0.0,0,0.0,0.0
As-74,10.0,0.0,0.0,0,0.0,0,0.0,0.455
As-76,10.0,0.0,0.0,0,0.0,0,0.0,0.224
As-77,1000.0,0.0,0.0,0,0.0,0,0.0,0.00425
As-78,10.0,0.0,0.0,0,0.0,0,0.0,0.576
At-207,10.0,0.0,0.0,0,0.0,0,0.0,0.841
At-211,1000.0,0.0,0.0,0,0.0,0,0.0,0.00106
Au-193,100.0,0.0,0.0,0,0.0,0,0.0,0.0437
Au-194,10.0,0.0,0.0,0,0.0,0,0.0,0.405
Au-195,10.0,10.0,1.0,0,0.0,1,0.0,0.00021
Au-196,10.0,0.0,0.0,0,0.0,0,0.0,0.245
Au-198,10.0,0.0,0.0,0,0.0,0,0.0,0.241
Au-198m,10.0,0.0,0.0,0,0.0,0,0.0,0.178
Au-199,100.0,0.0,0.0,0,0.0,0,0.0,0.0274
Au-200,100.0,0.0,0.0,0,0.0,0,0.0,0.122
Au-200m,10.0,0.0,0.0,0,0.0,0,0.0,1.11
Au-201,100.0,0.0,0.0,0,0.0,0,0.0,0.0192
Ba-126,100.0,0.0,0.0,0,0.0,0,0.0,0.277
Ba-128,100.0,0.0,0.0,0,0.0,0,0.0,0.0224
Ba-131,10.0,0.0,0.0,0,0.0,0,0.0,0.246
Ba-131m,100.0,0.0,0.0,0,0.0,0,0.0,0.00128
Ba-133,0.1,0.1,1.0,0,0.0,1,0.18,0.193
Ba-133m,100.0,0.0,0.0,0,0.0,0,0.0,0.0263
Ba-135m,100.0,0.0,0.0,0,0.0,0,0.0,0.0227
Ba-137m,0.1,0.0,0.0,0,0.0,0,0.0,0.349
Ba-139,100.0,0.0,0.0,0,0.0,0,0.0,0.0148
Ba-140,1.0,0.0,0.0,0,0.0,0,0.0,0.103
Ba-141,100.0,0.0,0.0,0,0.0,0,0.0,0.432
Ba-142,100.0,0.0,0.0,0,0.0,0,0.0,0.494
Be-10,100.0,0.01,0.0001,0,5100.0,1,0.0,0.0
Be-7,10.0,0.0,0.0,0,0.0,0,0.0327,0.0303
Bi-200,10.0,0.0,0.0,0,0.0,0,0.0,1.2
Bi-201,10.0,0.0,0.0,0,0.0,0,0.0,0.619
Bi-202,10.0,0.0,0.0,0,0.0,0,0.0,1.27
Bi-203,10.0,0.0,0.0,0,0.0,0,0.0,0.793
Bi-205,10.0,0.0,0.0,0,0.0,0,0.0,0.631
Bi-206,1.0,0.0,0.0,0,0.0,0,0.0,1.55
Bi-207,0.1,0.1,1.0,0,0.0,1,0.712,0.741
Bi-208,0.01,0.1,1.0,0,0.0,1,0.0,0.448
Bi-210,1000.0,0.0,0.0,0,0.0,0,0.0,0.0
Bi-210m,0.1,1.0,0.1,3700,0.0,2,0.0,0.137
Bi-211,100.0,0.0,0.0,0,0.0,0,0.0,0.0268
Bi-212,10.0,0.0,0.0,0,0.0,0,0.0585,0.0493
Bi-213,100.0,0.0,0.0,0,0.0,0,0.0,0.0739
Bi-214,10.0,0.0,0.0,0,0.0,0,0.0,0.573
Bk-245,100.0,0.0,0.0,0,0.0,0,0.0,0.0551
Bk-246,10.0,0.0,0.0,0,0.0,0,0.0,0.408
Bk-247,0.1,0.1,0.1,3700,0.0,2,0.0,0.0427
Bk-249,100.0,0.1,1.0,3700,0.0,2,0.0,0.0
Bk-250,10.0,0.0,0.0,0,0.0,0,0.0,0.435
Br-74,10.0,0.0,0.0,0,0.0,0,0.0,1.23
Br-74m,10.0,0.0,0.0,0,0.0,0,0.0,1.51
Br-75,10.0,0.0,0.0,0,0.0,0,0.0,0.707
Br-76,10.0,0.0,0.0,0,0.0,0,0.0,1.08
Br-77,10.0,0.0,1.0,0,0.0,1,0.0,0.178
Br-80,100.0,0.0,0.0,0,0.0,0,0.0,0.0448
Br-80m,1000.0,0.0,0.0,0,0.0,0,0.0,0.0
Br-82,1.0,0.0,1.0,0,0.0,1,0.0,1.36
Br-83,1000.0,0.0,0.0,0,0.0,0,0.0,0.00417
Br-84,10.0,0.0,0.0,0,0.0,0,0.0,0.444
C-11,10.0,0.0,0.0,0,0.0,0,0.0,0.62
C-14,1.0,0.1,1.0,3700,92000.0,1,0.0,0.0
